,n_cells
SNHG7,579391
ENSG00000233017,379
CHORDC1P5,1617
ENSG00000233021,1387
NPIPA9-1,23642
CRYZP1,9459
ENSG00000233028,435
ENSG00000233029,6613
CASK-AS1,2007
PTPRN2-AS1,23862
PHGR1,1673
ENSG00000233044,32113
RPL15P5,295
LINC01677,8214
LINC01722,9487
ERVH48-1,13296
EEF1A1P14,5932
ATP13A3-DT,296382
ENSG00000233060,70308
ENSG00000233064,31668
PTCHD1-AS,7578
ENSG00000233068,11962
ENSG00000233069,592
ZFY-AS1,63237
GRM3-AS1,19709
LINC01271,16027
LINC01755,3166
LINC01399,38720
ENSG00000233081,416
LNCARSR,3690
RAB6D,4397
LINC00892,33928
ENSG00000233096,282
CCDC144NL-AS1,142019
ENSG00000233099,1453
HOXB-AS3,65367
ENSG00000233103,437
GLCCI1-DT,46547
SORBS2-AS1,1081
LINC00702,4550
VN1R20P,1123
CTAGE7P,25535
LINC00456,570
LINC01794,931
RPS15AP14,514
ENSG00000233138,15754
DIRC3-AS1,54203
ENSG00000233144,3863
BPIFB5P,1538
SYF2P2,2006
UBE2E2-DT,3111
LINC01762,751914
RPS12P17,375
ENSG00000233170,5491
FMNL1-AS1,95562
ENSG00000233178,91769
ENSG00000233183,4530
DPH5-DT,2374090
RPL12P29,679
RPS24P13,1271
ENSG00000233191,2161
LINC02634,1424
WBP1P2,507
LINC00642,2873
ENSG00000233214,8092
LINC01687,4029
MROH3P,11108
ENSG00000233219,1887
PRDM10-DT,13301
ENSG00000233222,2655
ENSG00000233223,28269
SSBP3P1,14802
LPCAT2BP,203
CNOT7P1,2886
ENSG00000233230,147206
HNRNPA1P49,2754
NPIPB7,23981
ENSG00000233235,281908
LINC02573,1340
LINC00472,9724
ENSG00000233242,4867
PHC2-AS1,38738
UBE2E4P,1028
ENSG00000233251,824
RPL21P134,3982
ENSG00000233256,869
ENSG00000233258,256
FAM238A,86818
SLC28A3-AS1,1257
ENSG00000233268,21142
ENSG00000233271,905
PNPT1P2,349
GPX1,1733818
MTND3P10,319
ENSG00000233288,445
ENSG00000233290,41781
ENSG00000233292,437
ENSG00000233293,33570
TMEM18-DT,43453
RASA4DP,28286
EIF4A1P1,292
XXYLT1-AS1,448
LINC01346,1078
TRGV2,21733
OSTN-AS1,25291
MTCO1P54,439
LINC02669,22401
EEF1A1P34,286
MIPEPP3,94245
USP32P2,46444
PFN1P1,11824
ENSG00000233330,3721
FAM53B-AS1,17583
UBE2FP3,379
TLR8-AS1,7300
ENSG00000233339,17774
ENSG00000233340,51439
ENSG00000233342,987
ENSG00000233351,16159
LINC00028,684
CHRM3-AS2,385207
ENSG00000233358,29093
ENSG00000233359,11405
PDXP-DT,144620
ENSG00000233365,2959
ENSG00000233367,144251
GTF2IP4,218737
USP9YP34,663
RPS2P48,1520
AK4P3,57073
CNIH3-AS2,655
IATPR,699924
ENSG00000233388,485
UICLM,7310
ENSG00000233393,3008
LINC00841,4932
LINC01719,10745
LINC01648,1998
ENSG00000233403,2467
LINC01046,309
ENSG00000233406,1593
ENSG00000233407,507
LINC01222,4516
ENSG00000233415,913
ENSG00000233417,5416
ENSG00000233420,41905
LINC01783,311
ENSG00000233423,1055
EIF3FP3,10709
ENSG00000233427,7489
HOTAIRM1,521010
PDE4DIPP3,613
LINC02596,959
MTIF2P1,1206
CBLL1P1,468
AGGF1P2,32999
BTBD18,35111
CYP2AB1P,1447
PMS2P9,20774
STXBP5-AS1,492736
ENSG00000233454,774
LINC01077,7654
ENSG00000233459,940
NANOGP11,375
HAX1P1,5428
ST6GALNAC4P1,19558
ENSG00000233470,4315
ENSG00000233472,5872
ENSG00000233478,71531
ENSG00000233479,496
LINC01683,410
EFCAB15P,158492
FHAD1-AS1,43097
ENSG00000233491,6821
ENSG00000233492,320
TMEM238,44025
ENSG00000233494,259
HNRNPA1P60,1557
HNRNPLP1,1417
PTPRT-DT,1227
ZNF197-AS1,54899
ENSG00000233511,1002
ENSG00000233514,1249
LINC01518,2244
ENSG00000233517,9420
FAM224A,763
ZNF529-AS1,841891
LINC00430,2096
LINC00460,267
LINC02524,4762
ENSG00000233535,2108
ENSG00000233536,2726
ENSG00000233538,9565
ENSG00000233539,5828
ENSG00000233542,229
ENSG00000233547,13209
B4GALT1-AS1,27008
RPL7AP46,242
ENSG00000233558,3575
LINC00513,1702966
ENSG00000233569,973
LINC00690,3729
ENSG00000233571,29266
ENSG00000233574,281
HTR3C2P,898
ENSG00000233577,1433
EIF4EP1,1478
ENSG00000233581,1147
ENSG00000233583,4585
ACAA2P1,17604
ENSG00000233586,745
LINC01884,4747
CYP51A1P2,5507
LINC02640,4074
LINC02609,26584
BTF3P5,4183
NCOR1P3,1602
LINC01392,38997
TWIST2,12845
RPL10P19,210370
LINC00462,52303
GBX2-AS1,10067
DCUN1D2-AS,7668
DDX11L10,1162
HNRNPA1P42,1508
ENSG00000233616,398
USH2A-AS2,487
ZC3H12A-DT,627332
CYP2T1P,10128
ENSG00000233625,1074
ENSG00000233633,863
ENSG00000233635,101137
PANTR1,5305
GPR158-AS1,20581
LINC02625,23855
ENSG00000233651,409
NEMP2-DT,359964
ENSG00000233656,13718
SPIN4-AS1,1623
CALM2P4,682
ENSG00000233665,8942
ENSG00000233668,6278
PIRT,4263
CENPNP1,421
RNASEH2B-AS1,290270
ANAPC1P1,91159
DDX39BP1,1344
HNRNPA1P27,3071
CEACAMP1,506
LINC01865,9254
ENSG00000233689,1941
PBX1-AS1,213
LINC02579,4166
GAS6-AS1,432561
TTTY18,339
SLC26A4-AS1,3566
ENSG00000233706,3147
RPL22P11,315
ENSG00000233712,4214
RPS29P29,2265
MYCNOS,1521
GOT2P3,3963
ENSG00000233721,3940
LINC01122,85418
NRAD1,704
ENSG00000233728,7315
NCKAP5-AS1,769
LINC01765,18425
H2AZP6,476
ENSG00000233739,30245
LINC00656,1599
RPL36AP13,3774
RRAS2P2,211
ENSG00000233754,513
ENSG00000233755,72455
ENSG00000233757,393601
ENSG00000233760,251
RPS15P4,3245
MTCO1P20,340
CAVIN2-AS1,19393
MED14P1,3753
ENSG00000233775,1663
ENSG00000233778,200
HNRNPA1P30,13437
ZNF90P3,241
ENSG00000233783,45069
ENSG00000233785,169430
CDC27P1,403
BTG2-DT,17504
PUDPP2,7444
UFL1-AS1,903001
ENSG00000233799,42578
LINC01237,2370518
ENSG00000233817,247
CLDN14-AS1,99540
ENSG00000233820,13411
ENOX1-AS1,543
H2BC15,139476
ENSG00000233824,231
ENSG00000233825,4117
MIR4280HG,24571
EIF4HP1,14393
ETF1P3,2279
MACC1-DT,9160
EIF3LP2,1032
PCDH9-AS4,1311
ENSG00000233842,3372
ENSG00000233845,10793
SELENOTP1,984
ERCC8-AS1,808
ENSG00000233848,86202
ENSG00000233849,1062
ENSG00000233850,31110
LATS2-AS1,27458
ENSG00000233852,47523
POU6F2-AS2,7233
ADH5P4,2815
SHROOM3-AS1,2894
ENSG00000233862,40199
SLC9B1P3,2351
LLPHP3,12431
ENSG00000233870,826
DLG5-AS1,416
RPL7P44,1796
MFN1P1,1434
ENSG00000233875,67514
ENSG00000233877,465
LINC01680,280
ENSG00000233884,272
YEATS2-AS1,40247
ENSG00000233891,46978
EZR-AS1,15828
PDYN-AS1,24179
LINC01503,160748
ENSG00000233902,7299
UBE2V1P4,603
ENSG00000233912,294300
RPL10P9,3246
ZDHHC20P1,735
ENSG00000233920,1931
RPS15AP40,763
LINC01694,8240
TLE1-DT,111294
RPS28,1713393
ENSG00000233928,29265
MT1XP1,292
KRTAP5-AS1,178733
CTXN2,299
CTC-338M12.4,827262
LINC02650,351
RCC2P3,237
ENSG00000233953,6098
UQCRHL,58334
ENSG00000233960,786
ATP8A2P3,30498
UBE2SP1,778
ENSG00000233967,192855
ENSG00000233968,6789
ENSG00000233969,2282
RPS20P10,1093
LINC01360,1606
ENSG00000233974,3092
LINC02574,268455
ENSG00000233977,353
ENSG00000233978,4331
RPL22P21,562
RPSAP14,314
LINC01681,11801
ENSG00000233987,2239
ENSG00000233990,391
DTD1-AS1,35257
GDI2P2,7998
ENSG00000233995,1385
KDM3AP1,369
LINC01425,6058
SETP5,1551
MTATP6P27,3030
GAPDHP22,586
DDX39B-AS1,2335
PPP1R2P2,345
RPL5P34,42372
LINC02530,270
ENSG00000234017,733
ENSG00000234019,768
CHIAP3,3000
ENSG00000234021,2354
ENSG00000234022,2053
ENSG00000234026,16164
EIF2AK3-DT,40638
TMEM97P1,415
ENSG00000234034,1108
TXNP6,1514
RPL10P12,2578
NUDT9P1,17720
ENSG00000234050,580
LINC01673,9301
ENSG00000234055,2581
LINC00463,3133
CASKP1,4210
ENSG00000234061,545
TM9SF5P,714850
MTND4P26,787
TAS2R62P,3759
PAGE2,942
GTF3C2-AS2,311735
TPRG1-AS1,24746
ENSG00000234083,1559
ENSG00000234084,8540
ENSG00000234089,379
ENSG00000234091,6535
RPS15AP11,4226
MTND4P11,239
SRP14P2,14771
RPL7P36,837
ENSG00000234115,203
ENSG00000234117,656
RPL13AP6,1233
METAP2P1,203
CSN1S2AP,941
EEF1GP8,239
TRIM26,3214295
HCCS-DT,500454
AP2B1P1,4118
ENSG00000234132,1268
ENSG00000234134,6511
ENSG00000234136,3772
ENSG00000234139,30609
ENSG00000234141,15144
LINC01675,201792
NAP1L4P3,2540
ENSG00000234147,369809
LINC01961,2886
ENSG00000234149,33632
LINC02535,572
ENSG00000234156,372391
RPEP2,642
RBPMSLP,5464
ENSG00000234160,46459
PABPC5-AS1,1501
ENSG00000234162,137719
MTND4LP11,834
LINC01039,1908
LINC01868,417
LINC02645,18642
RNASEH1-DT,269445
ENSG00000234172,4532
ENSG00000234173,21567
ENSG00000234174,5863
ENSG00000234175,781
HSPA8P1,16874
LINC01114,1112
PIGO-AS1,12238
H2AZ2-DT,9404
LINC01781,39923
ENSG00000234185,233851
ENSG00000234190,324
LINC01283,173132
RPS26P38,388
ACSL3-AS1,1915
ETV5-AS1,1171
LINC01191,1489831
ENSG00000234200,1919
ENSG00000234203,17554
PIGPP2,553
LINC01830,7872
ENSG00000234210,16402
ENSG00000234211,4668
CT66,739
LIX1L-AS1,1680
ENSG00000234223,2433
ENSG00000234225,3528
RPL7L1P1,284
ZFX-AS1,21856
ANAPC1P4,51760
PDE4DIPP7,3355
BOK-AS1,41827
ENSG00000234238,5301
ENSG00000234241,39329
ENSG00000234244,3874
RPL7P13,224
ENSG00000234255,6156
ENSG00000234261,369191
MAP3K5-AS1,91213
DEPDC1-AS1,2996
LINC01723,8921
TULP3P1,2583
ENSG00000234273,4072
ENSG00000234275,12266
LINC01641,8183
LINC01937,30482
LANCL1-AS1,104398
ENSG00000234282,749
LINC01731,1235
ZNF879,334160
ENSG00000234286,7537
ENSG00000234287,764
ENSG00000234292,4303
ENSG00000234296,386
PSIP1P1,18796
LINC00229,2427
CLYBL-AS1,4728
SGO1P2,1242
LINC01878,6169
ENSG00000234311,541
ENSG00000234318,1387
ST13P18,3427
LINC01505,905023
RPL9P2,806
ZNF232-AS1,113790
BCAS2P2,16763
RPS4XP11,3269
JAZF1-AS1,103759
ENSG00000234337,168629
ENSG00000234338,1405
ELF2P1,12016
ERICH2-DT,26165
ENSG00000234352,36247
ENSG00000234356,208
ENSG00000234361,1293
LINC01914,5785
TATDN1P1,3332
RPSAP31,2289
OBI1-AS1,70255
ENSG00000234378,8175
HMGB1P48,650
LINC01426,13472
ENSG00000234382,217
LINC01049,9402
USP27X-DT,12380
ENSG00000234391,516
ENSG00000234393,12888
LINC03025,4559
ENSG00000234396,22520
SPRYD7P1,1118
ENSG00000234405,13262
CCDC188,1432
RPL5P7,550
ENSG00000234418,31385
ZNF37BP,3555187
LINC01250,137468
ENSG00000234424,188205
ENSG00000234425,237047
ENSG00000234426,45618
ENSG00000234428,149358
ANKRD11P1,2008
LINC02983,14088
LINC01432,539
ENSG00000234436,87651
ZNF736,2295184
FGF14-AS1,682
ENSG00000234446,8237
ENSG00000234450,574
SLC16A12-AS1,2672
ENSG00000234455,573
MAGI2-AS3,52742
ENSG00000234457,310
ENSG00000234464,18865
PINLYP,23972
HDGFL3P1,295
ENSG00000234471,7942
ZNF101P2,120435
MIR3663HG,3621
LINC02765,24875
ENSG00000234477,8189
ACBD3-AS1,20589
ENSG00000234481,453
ENSG00000234484,9491
RPL27P6,609
HNRNPA1P51,3132
RPL34-DT,1074559
SP2-AS1,289024
ERICH3-AS1,2912
RPL13AP20,8927
ENSG00000234500,403615
ENSG00000234504,92556
LINC01506,23679
SOD1-DT,10625
C5orf58,103088
ENSG00000234513,987
PPP1R2P1,2828
PTGES3P1,244715
ENSG00000234519,650
HRAT17,2520
PCDH9-AS1,817
ENSG00000234535,363
ENSG00000234537,558
ENSG00000234540,39669
CHEK2P5,293
ENSG00000234542,1252
FAM133B,2406054
LNCTAM34A,87725
LINC02020,1835
LINC01309,1290
ENSG00000234553,3012
LINC00701,518
API5P1,6266
RPL22P7,2617
TPMTP2,468
BIN2P1,9081
RAD1P1,354
ZFRP1,784
LINC01800,31929
SYNE1-AS1,334
ENSG00000234578,464
ENSG00000234580,680
ENSG00000234584,247896
CCT6P3,206200
ENSG00000234586,338
ENSG00000234589,9297
KAZN-AS1,13016
ENSG00000234597,1600
ENSG00000234607,807
MAPKAPK5-AS1,698388
C2CD4D-AS1,187936
JRK,757150
SNRK-AS1,92154
RPSAP9,2728
RPL7P11,638
PUDPP1,6842
ENSG00000234622,16461
ENSG00000234626,1333
NUS1P3,290
WDR82P1,2375
ENSG00000234630,639
NECAP1P2,246
LINC02093,266
MED14OS,23606
ENSG00000234640,998
YWHAEP5,16287
ENSG00000234647,759
PCCA-AS1,20246
LRRTM4-AS1,733
OR7E155P,209
LINC00440,5475
CHL1-AS1,1662
LINC01934,3269582
HMGN2P5,172591
LERFS,77054
ACTL11P,205
IFT74-AS1,2389
ELF3-AS1,36186
VN2R3P,2133
SDCBP2-AS1,2222156
NUS1P2,392
ENSG00000234686,852
CACNG2-DT,622
EPCAM-DT,109089
RIPOR3-AS1,2607
CDC20-DT,178563
ENSG00000234698,1232
ENSG00000234699,14551
VDAC1P3,1065
HMGA1P4,1796737
SEC61G-DT,26367
ENSG00000234710,18782
ENSG00000234712,230
ENSG00000234714,3349
SLC26A5-AS1,24327
TMEM212-AS1,45906
ENSG00000234718,5883
NPIPB2,369686
LINC02092,1570
LINC01287,3127
ENSG00000234726,1483
ENSG00000234730,2227
FAM170B-AS1,1405
GAS5,1907958
ENSG00000234742,10777
EIF5AP4,717
HLA-B,10232596
ENSG00000234750,1271
ENSG00000234751,1797
LINC02676,13732
FOXP4-AS1,60319
LINC02817,358
LINC02621,55263
ENSG00000234758,23251
ENSG00000234763,15009
LINC01496,342
LINC01052,2603
ENSG00000234768,220
WASH4P,24817
GULOP,296564
SLC25A25-AS1,283749
LINC00412,550715
ENSG00000234773,97881
ENSG00000234775,315
C11orf94,2050
LINC02529,588
ENSG00000234780,522
LINC01103,958
TPT1P9,25800
ENSG00000234784,368
EEF1GP5,1494
LINC00458,15587
ENSG00000234789,1346
ENSG00000234793,2536
RFTN1P1,3286
ENSG00000234796,259
RPS3AP6,63118
PCMTD1P3,1031
MORF4,2144
LINC01135,2406845
ENSG00000234810,50248
SVIL2P,37956
H2AC5P,5522
ECI2-DT,16357
ENSG00000234818,27893
XRCC6P2,33583
ENSG00000234826,408
IQCM,54862
NXT1-AS1,28435
LINC01239,17756
ENSG00000234848,9770
RPL23AP42,23278
NDUFA5P3,505
HNRNPUL2-BSCL2,109302
ENSG00000234859,5035
ENSG00000234860,8873
LINC02632,437
ADH5P5,456
LINC02925,13628
PIGFP2,464
EIF3EP1,30149
MIR155HG,1028059
GRK3-AS1,8651
MTND5P26,16899
OFD1P15Y,281
HNRNPDLP2,2859
ENSG00000234892,299
CHEK2P3,273
SOX9-AS1,1602
ENSG00000234900,2648
ENSG00000234902,97228
APOC2,10316
TEX21P,580383
SNHG20,1934
ENSG00000234915,493234
ENSG00000234917,13212
LINC01827,1087
ATP5PDP4,4219
LINC01659,49508
ENSG00000234929,3276
MARK2P15,215
CDC42P1,651
ENSG00000234936,111625
ENSG00000234937,2559
ENSG00000234938,881
ENSG00000234940,2122
GRID1-AS1,3119
ENSG00000234943,1035
GTF3C2-AS1,22704
LINC01524,99814
RAB17-DT,407
LINC02674,554
ENSG00000234953,3876
LINC02539,48691
ENSG00000234961,49453
LINC00700,982
FABP5P7,5318
SHISA8,15347
AARSD1P1,585
FTH1P2,10816
RPL7AP47,386
ENSG00000234983,1789
FMO10P,1066
LINC01849,612
CUBNP2,1302
RPS3AP28,368
ACTG1P25,6086
LINC02966,83608
ENSG00000234998,16607
EIF4A1P2,21624
ENSG00000235007,532309
LINC01883,351
JAKMIP3-AS1,2500
JCADP1,1691
COX20P2,2969
GEMIN2P1,722
SEMA3F-AS1,40396
ENSG00000235020,5373
ENSG00000235021,5574
ENSG00000235023,733
CDK5R2-AS1,859
DPP10-AS1,1996
PRADX,21012
HMGN1P30,872
MNX1-AS2,629
DAAM2-AS1,7141
C19orf81,5986
ENSG00000235035,1282
ENSG00000235036,5295
ENSG00000235038,3131
SMARCAL1-AS1,6878
TECRP1,1300
PPIAP3,435
RPL7P8,602
ENSG00000235047,229
LINC00940,53380
MLIP-AS1,8777
ENSG00000235052,3456
LINC01777,1571
ENSG00000235056,142892
ZMYND10-AS1,7526
VDAC1P4,1340
BCRP5,16141
RPL24P2,4831
ENSG00000235066,86478
ENSG00000235070,499
ENSG00000235071,3489
ARNILA,159310
GAPDHP52,1524
ENSG00000235077,25284
ENSG00000235078,114965
ZRANB2-AS1,97670
SUMO1P3,3943
CHCHD2P6,5030
ENSG00000235085,61366
ENSG00000235091,2495
ID2-AS1,38991
ENSG00000235095,3788
ENSG00000235096,15566
LINC00330,598
ANKRD65,2033
ENSG00000235099,1055
ENSG00000235100,127110
SETP9,14857
ENSG00000235105,1651
BRD3OS,275959
ZSCAN31,40004
ENSG00000235111,387734
HSPE1P27,10820
FAM237A,653
ENSG00000235119,109087
BSN-AS1,211
ENSG00000235121,15601
ENSG00000235122,7674
DSCAM-AS1,289
ENSG00000235126,733
ENSG00000235127,33840
HSP90AB6P,247
ENSG00000235138,1910
LINC03017,2746
ENSG00000235140,4848
LINC02532,16958
ENSG00000235146,1084
RCBTB2P1,4587
ENSG00000235151,4651
ENSG00000235152,2749
ENSG00000235154,1034
TMEM30CP,22394
ENSG00000235158,299
LINC02939,47019
LINC02248,5326
C12orf75,965486
LINC01440,17296
ENSG00000235168,743
SMIM1,16175
LINC01366,22956
HGH1,152017
RPL26P37,1067
LINC00601,432
MICOS10-DT,4730
ENSG00000235189,166074
NUCB1-AS1,73457
ENSG00000235192,242412
PPP1R3E,1488626
ZNF33CP,588
CYP2C58P,356
LINC01702,1745
LINC02578,204
LINC01525,15389
ENSG00000235204,7335
TUBBP6,373
ENSG00000235209,682
FAM83C-AS1,248
ENSG00000235215,14648
TSPY26P,32148
LINC00383,7650
ENSG00000235224,749
RPL31P17,552
ENSG00000235236,48078
ENSG00000235237,197176
SUMO2P1,809
DANT2,67097
ENSG00000235246,719
OR13C1P,998
ENSG00000235251,1171
EEF1A1P50,8692
TMEM185AP1,738
ITGA9-AS1,109454
NDUFB4P6,347
RPL5P28,731
ENSG00000235267,8456
KDM4E,241
LINC02331,13608
ENSG00000235271,35777
RAMACL,41577
ENSG00000235274,418
ENSG00000235277,7593
ZNF652P1,305
MCF2L-AS1,15152
ENSG00000235281,9613
ENSG00000235286,1050
ENSG00000235288,15531
BRD7P6,223
HLA-W,16919
ENSG00000235292,3419
RPL7AP25,340
LINC01634,2371
ENSG00000235296,2719
FAUP1,23241
HNRNPK-AS1,110593
MRPL53P1,776
SKAP1-AS2,105802
ENSG00000235303,3289
LINC01281,83147
ENSG00000235308,880
GXYLT1P6,336
LINC00957,61181
DUSP8P5,36932
MTND4LP13,231
ENSG00000235319,4535
ENSG00000235321,1220
ENSG00000235328,203
RPSAP76,2110
B3GALT1-AS1,56070
ENSG00000235337,4985
DUSP5P2,731
GEMIN2P2,769
ENSG00000235347,1317
ENSG00000235349,994
ENSG00000235350,8028
ENSG00000235351,2049
SGCEP1,1114
ENSG00000235356,1247
LINC01621,1101
ABR-AS1,36216
SNRPGP10,10002
LINC01055,3366
DNM1P51,1662
ENSG00000235371,761
SSR4P1,29355
RPEL1,2622
ENSG00000235381,227166
MTND4P31,974
LINC02154,31780
SPAAR,3216
EPN2-AS1,6118
ENSG00000235400,2581
ENSG00000235403,539
SNORA71B,5091
ENSG00000235410,3153
DRG1P1,3566
TTTY4B,268
KRT18P63,386
ENSG00000235415,26280
ENSG00000235419,487329
RPL29P30,1134
ENSG00000235421,5867
KATNBL1P3,555
ENSG00000235426,9815
ENSG00000235427,381
ENSG00000235431,4247
RNF186-AS1,250
ENSG00000235435,3023
DPY19L2P4,1804
LINC01278,2588341
ESRRAP2,20413
RPS2P15,917
LINC02791,3025
LURAP1L-AS1,6844
ENSG00000235450,99663
SMIM27,242449
HAUS6P3,2427
RPS26P31,225
ENSG00000235461,256
TAB3P1,972
ENSG00000235464,679
NEURL1-AS1,11114
EIF4A1P7,976
LINC01664,8688
ENSG00000235480,10285
UBE2R2-AS1,156257
GYG2-AS1,276
ANAPC1P6,3926
JARID2-AS1,1995
DBF4P1,10962
LINC01889,2489
LINC01221,4341
LINC01967,55234
ENSG00000235494,3513
ENSG00000235495,5669
LINC02923,266
SNX19P2,1966
CNN3-DT,43100
ENSG00000235503,918
CASP4LP,937587
RPS2P7,5157
OFD1P18Y,246
TAB3-AS2,2988
L3MBTL2-AS1,186689
LLPHP2,2056
LINC01815,200
ENSG00000235522,61528
HIPK1-AS1,63018
TMEM11-DT,661060
MSC-AS1,987739
LINC00402,1280598
ENSG00000235533,233
TRDN-AS1,15391
ENSG00000235537,2939
ENSG00000235538,81452
DOCK7-DT,113169
HEBP2P1,7468
EIF1P2,525
ANKRD26P2,720
RPL6P27,21609
SRSF6P2,18497
SUMO1P4,1111
GUSBP17,48161
NOP56P1,3009
ZNF747-DT,91863
NFAM1,1032298
ENSG00000235574,784
ENSG00000235575,8027
LINC01871,766734
RPL38P5,1005
ENSG00000235582,1782
ENSG00000235583,766
ENSG00000235584,247
ENSG00000235586,1758
GAPDHP65,1511
GNAS-AS1,114056
ENSG00000235592,786
RBMS3-AS1,2620
LINC01102,7274
POU5F1P3,1108
ENSG00000235605,262
ENSG00000235609,586559
ENSG00000235610,262
ENSG00000235612,621
ENSG00000235615,429
ST13P2,687
FAM21EP,32475
LINC00494,98162
LINC02922,8046
ENSG00000235635,20762
NUS1P1,5438
ENSG00000235637,9382
LINC00484-1,1320
LINC02651,417
MXRA5Y,378
EPM2A-DT,845919
ENSG00000235653,288
H3P6,299
ENSG00000235659,261
LINC00345,736
SAPCD1-AS1,2251
LINC00298,960848
CHN2-AS1,45695
RPL21P40,2380
ENSG00000235673,235
LDHAP2,4252
NPM1P26,5444
ENSG00000235681,373
LINC00993,4364
SNTG2-AS1,6331
CUBNP3,1847
HIGD2AP2,270
PA2G4P2,5661
CYCSP52,522
PCBP2P1,8074
EOLA2-DT,3159022
DICER1-AS1,202305
ANKRD34C,1052
GABPAP,5071
PSMD14-DT,202954
LINC03050,9674
ENSG00000235726,116765
ENSG00000235728,4828
LINC02250,32992
HMGN1P36,7660
ENSG00000235736,663
TRIM60P19,211
PHACTR2-AS1,89871
ENSG00000235743,2474
ENSG00000235749,44972
KIAA0040,3569027
BRD7P5,1175
LINC00607,212107
ENSG00000235772,4341
ENSG00000235774,3614
RPL7AP70,2854
DPYD-AS2,12206
ENSG00000235779,2296
LINC02569,14048
ENSG00000235782,785
ENSG00000235785,30907
PEF1-AS1,28040
ENSG00000235795,48286
HCFC1-AS1,7198
ENSG00000235804,813
ENSG00000235806,3444
ADAM21P1,223
ENSG00000235813,460
PRELID1P3,374
ENSG00000235819,11111
ENSG00000235820,7661
IFITM4P,1955
OLMALINC,131697
LINC00837,274
RPL36AP26,1986
TBCAP2,1539
SRGAP3-AS4,1862
BHLHE40-AS1,413099
ENSG00000235837,33211
HSP90AB7P,281
ENSG00000235840,14533
LDHAP7,2482
RMDN2-AS1,210540
ENSG00000235852,50781
ENSG00000235862,1120
B3GALT4,772185
HSPA8P6,423
GSN-AS1,26441
ENSG00000235869,652
ENSG00000235872,108207
FEM1AP4,542
FAR1P1,211
ENSG00000235880,31382
ENSG00000235881,319
LINC00941,103615
LINC01828,26136
LINC02940,154224
TSPEAR-AS1,27990
PKMP2,215
TM4SF19-AS1,71843
LINC01564,10510
ENSG00000235901,950
ENSG00000235902,1351
CPB2-AS1,923238
RBMS3-AS3,37978
APOA1-AS,68355
ENSG00000235912,16177
MACROD2-AS1,2140
MRPS18CP7,928
ASH1L-AS1,8836
NEXN-AS1,20367
TPT1P14,604
LINC01553,1043
ENSG00000235934,320
RPL21P30,1239
ENSG00000235939,34449
ZNF815P,1056678
ENSG00000235945,68706
H2BW3P,286
EGOT,22771
TTC28-AS1,1978127
COX7CP1,938
UBOX5-AS1,174872
PNMA6A,1929
RPL7AP53,2528
MCCD1P1,710
COX5BP3,1282
VN2R19P,2635
ENSG00000235978,1090642
ENSG00000235979,191224
ENSG00000235981,2781
GPC5-AS1,1588
MORC2-AS1,80695
ENSG00000235991,6238
ENSG00000235994,1513
UBE2V1P6,1402
LINC01936,2995
ENSG00000236003,10031
ENSG00000236005,626
LINC01814,566898
LINC02941,21797
ENSG00000236015,1235
ASMTL-AS1,1330850
ENSG00000236018,3109
COP1-DT,259349
ENSG00000236022,236
PRRX2-AS1,1165
ENSG00000236031,8579
OR5H14,345
NSA2P1,3059
LINC02889,63882
CHIAP1,1013
FABP5P2,4160
ENSG00000236045,2848
LINC01920,1309
MYCBP2-AS1,1264
LINC01643,17604
RPL17P36,9238
HSPB1P1,549
ENSG00000236064,28299
ENSG00000236065,181843
NT5ELP,4598
ENSG00000236069,5312
LINC01072,336
SLC6A14P1,399
LINC01447,5671
ENSG00000236079,646
ELFN1-AS1,664
HMGN2P28,65448
COX10-DT,2328821
LDHAP3,3013
LINC02243,300
LINC00545,27465
ENSG00000236098,411
ZBTB22,253744
PRELID3BP10,657
SCN1A-AS1,42291
ENSG00000236109,3621
RPL6P1,1642
ENSG00000236114,12440
ENSG00000236115,2995
LINC01639,214
ENSG00000236119,18297
ENSG00000236120,26256
ENSG00000236129,1087
PTCSC2,117994
ENSG00000236132,1566
LINC01069,7573
ADORA2BP1,438
CD101-AS1,74464
DUX4L26,306
ENSG00000236140,6058
ENSG00000236141,397
TMEM147-AS1,255285
ENSG00000236145,500
ENSG00000236146,249
RPL23AP37,1259
MRPS36P1,544
UBE2E3-DT,1039
ENSG00000236154,3544
ZPLD2P,10013
ENSG00000236162,277
ENSG00000236164,695
PRADC1P1,266
MIR7515HG,2022
ENSG00000236182,213
PRKX-AS1,115232
LINC01953,1160
PPP1R9A-AS1,137167
SMARCA2-AS1,45762
KDM4A-AS1,166068
GRM7-AS1,6396
LINC01376,1180006
ENSG00000236206,6150
ENSG00000236209,115765
ENSG00000236212,18773
ENSG00000236213,2155595
PPP1R11P1,1974
C1DP2,1653
VEZF1P1,1296
ENSG00000236230,30977
ENSG00000236231,276
ENSG00000236234,30602
ENSG00000236235,213
MYO16-AS1,6851
RPL6P29,749
SLC35F3-AS1,1082
ENSG00000236252,788
SLC25A3P1,13315
ENSG00000236255,300911
DIAPH2-AS1,387524
ENSG00000236263,6013
RPL26P30,26867
ENSG00000236266,230631
LINC01361,6207
ENSG00000236274,10502
NDP-AS1,898
NIPA2P5,690
PEBP1P3,73810
CLEC2L,13284
NDUFB9P2,822
ENSG00000236283,91054
NPM1P8,5443
ZBED5,3338239
GACAT3,8615
